Season,Points_PG
2022-23,1.23
2021-22,1.2
2021-22,1.12
2022-23,1.1
2019-20,1.09
2012-13,1.09
2021-22,1.04
2018-19,1.01
2015-16,1
2020-21,1
2022-23,0.97
2022-23,0.97
2011-12,0.96
2018-19,0.95
2021-22,0.95
2015-16,0.94
2019-20,0.94
2022-23,0.94
2021-22,0.93
2016-17,0.93
2022-23,0.92
2016-17,0.92
2015-16,0.91
2022-23,0.91
2016-17,0.91
2021-22,0.91
2012-13,0.9
2022-23,0.9
2013-14,0.9
2021-22,0.89
2022-23,0.88
2018-19,0.88
2022-23,0.88
2019-20,0.88
2018-19,0.88
2017-18,0.87
2021-22,0.87
2021-22,0.86
2018-19,0.86
2020-21,0.86
2020-21,0.85
2019-20,0.85
2018-19,0.85
2020-21,0.85
2017-18,0.84
2019-20,0.83
2020-21,0.83
2017-18,0.83
2017-18,0.83
2016-17,0.83
2021-22,0.83
2018-19,0.83
2012-13,0.82
2011-12,0.82
2017-18,0.82
2020-21,0.82
2017-18,0.82
2017-18,0.82
2022-23,0.81
2014-15,0.8
2019-20,0.8
2011-12,0.8
2021-22,0.8
2021-22,0.79
2020-21,0.79
2022-23,0.79
2014-15,0.79
2018-19,0.79
2014-15,0.79
2014-15,0.78
2019-20,0.78
2019-20,0.78
2017-18,0.78
2022-23,0.78
2019-20,0.78
2013-14,0.77
2018-19,0.77
2020-21,0.76
2020-21,0.76
2015-16,0.76
2018-19,0.76
2018-19,0.76
2018-19,0.76
2015-16,0.75
2015-16,0.75
2022-23,0.75
2022-23,0.74
2012-13,0.74
2019-20,0.74
2022-23,0.74
2018-19,0.74
2013-14,0.73
2015-16,0.73
2013-14,0.73
2020-21,0.73
2020-21,0.73
2014-15,0.73
2014-15,0.73
2017-18,0.73
2017-18,0.73
2017-18,0.73
2022-23,0.73
2019-20,0.72
2017-18,0.72
2015-16,0.72
2013-14,0.72
2021-22,0.72
2019-20,0.71
2013-14,0.71
2022-23,0.71
2017-18,0.71
2021-22,0.71
2018-19,0.7
2021-22,0.7
2014-15,0.7
2016-17,0.7
2015-16,0.7
2013-14,0.7
2019-20,0.7
2017-18,0.69
2018-19,0.69
2022-23,0.69
2020-21,0.69
2017-18,0.68
2015-16,0.68
2018-19,0.68
2017-18,0.68
2012-13,0.68
2016-17,0.68
2013-14,0.68
2020-21,0.68
2014-15,0.68
2019-20,0.68
2012-13,0.68
2021-22,0.67
2014-15,0.67
2012-13,0.67
2021-22,0.67
2020-21,0.67
2020-21,0.67
2012-13,0.67
2021-22,0.66
2014-15,0.66
2022-23,0.66
2016-17,0.66
2021-22,0.66
2011-12,0.66
2015-16,0.65
2015-16,0.65
2016-17,0.65
2017-18,0.65
2021-22,0.65
2014-15,0.65
2017-18,0.65
2019-20,0.65
2012-13,0.65
2019-20,0.65
2016-17,0.65
2019-20,0.65
2022-23,0.65
2013-14,0.65
2013-14,0.65
2011-12,0.65
2017-18,0.65
2022-23,0.64
2012-13,0.64
2012-13,0.64
2014-15,0.64
2021-22,0.64
2020-21,0.64
2019-20,0.64
2015-16,0.64
2014-15,0.64
2022-23,0.64
2015-16,0.64
2022-23,0.64
2021-22,0.64
2020-21,0.64
2021-22,0.64
2017-18,0.63
2019-20,0.63
2020-21,0.63
2022-23,0.63
2011-12,0.63
2013-14,0.63
2016-17,0.63
2020-21,0.63
2011-12,0.63
2015-16,0.63
2022-23,0.63
2020-21,0.63
2012-13,0.63
2012-13,0.63
2014-15,0.63
2022-23,0.63
2015-16,0.62
2021-22,0.62
2015-16,0.62
2022-23,0.62
2013-14,0.62
2014-15,0.62
2021-22,0.62
2016-17,0.62
2014-15,0.62
2017-18,0.62
2014-15,0.62
2021-22,0.62
2018-19,0.61
2016-17,0.61
2019-20,0.61
2015-16,0.61
2017-18,0.61
2022-23,0.61
2018-19,0.61
2021-22,0.61
2021-22,0.61
2022-23,0.61
2012-13,0.61
2018-19,0.61
2020-21,0.61
2017-18,0.61
2016-17,0.61
2015-16,0.6
2018-19,0.6
2012-13,0.6
2020-21,0.6
2022-23,0.6
2016-17,0.6
2015-16,0.6
2016-17,0.6
2022-23,0.6
2019-20,0.6
2022-23,0.6
2012-13,0.6
