Season,Points_PG
2020-21,1.88
2022-23,1.87
2011-12,1.68
2022-23,1.6
2022-23,1.56
2018-19,1.56
2012-13,1.56
2019-20,1.55
2021-22,1.54
2019-20,1.52
2020-21,1.5
2018-19,1.49
2021-22,1.47
2011-12,1.45
2021-22,1.45
2021-22,1.44
2021-22,1.4
2020-21,1.38
2022-23,1.38
2022-23,1.38
2022-23,1.38
2019-20,1.38
2021-22,1.38
2018-19,1.36
2019-20,1.36
2020-21,1.35
2021-22,1.35
2019-20,1.35
2021-22,1.35
2019-20,1.35
2021-22,1.33
2022-23,1.33
2017-18,1.32
2019-20,1.32
2021-22,1.31
2017-18,1.31
2021-22,1.31
2020-21,1.3
2013-14,1.3
2015-16,1.29
2022-23,1.28
2018-19,1.28
2021-22,1.28
2022-23,1.28
2020-21,1.27
2020-21,1.27
2022-23,1.27
2021-22,1.27
2022-23,1.27
2018-19,1.27
2018-19,1.27
2017-18,1.26
2017-18,1.25
2017-18,1.25
2019-20,1.25
2012-13,1.25
2017-18,1.24
2019-20,1.24
2021-22,1.24
2022-23,1.24
2018-19,1.23
2021-22,1.23
2021-22,1.23
2017-18,1.22
2016-17,1.22
2020-21,1.22
2021-22,1.22
2021-22,1.22
2018-19,1.22
2011-12,1.21
2018-19,1.21
2018-19,1.21
2022-23,1.21
2019-20,1.2
2013-14,1.2
2018-19,1.2
2012-13,1.19
2016-17,1.19
2011-12,1.18
2021-22,1.18
2020-21,1.18
2021-22,1.18
2016-17,1.18
2018-19,1.18
2018-19,1.17
2012-13,1.17
2021-22,1.17
2012-13,1.17
2018-19,1.16
2016-17,1.16
2020-21,1.16
2022-23,1.16
2019-20,1.16
2021-22,1.16
2022-23,1.15
2016-17,1.15
2022-23,1.15
2019-20,1.15
2022-23,1.15
2019-20,1.15
2018-19,1.15
2019-20,1.14
2021-22,1.14
2021-22,1.14
2019-20,1.14
2022-23,1.13
2019-20,1.13
2013-14,1.13
2021-22,1.13
2020-21,1.13
2012-13,1.13
2020-21,1.13
2017-18,1.12
2017-18,1.12
2017-18,1.12
2018-19,1.12
2022-23,1.12
2018-19,1.12
2022-23,1.12
2013-14,1.12
2012-13,1.11
2012-13,1.11
2022-23,1.11
2018-19,1.11
2020-21,1.11
2020-21,1.11
2021-22,1.11
2012-13,1.1
2021-22,1.1
2019-20,1.1
2017-18,1.1
2018-19,1.1
2018-19,1.1
2021-22,1.09
2014-15,1.09
2017-18,1.09
2015-16,1.09
2016-17,1.09
2017-18,1.09
2014-15,1.08
2012-13,1.08
2012-13,1.08
2013-14,1.08
2012-13,1.08
2011-12,1.08
2020-21,1.08
2018-19,1.07
2018-19,1.07
2021-22,1.07
2021-22,1.07
2017-18,1.07
2021-22,1.07
2022-23,1.07
2013-14,1.07
2013-14,1.07
2015-16,1.07
2018-19,1.06
2012-13,1.06
2022-23,1.06
2020-21,1.06
2016-17,1.06
2015-16,1.06
2017-18,1.06
2022-23,1.06
2014-15,1.06
2018-19,1.06
2018-19,1.05
2021-22,1.05
2022-23,1.05
2017-18,1.05
2013-14,1.05
2011-12,1.05
2017-18,1.05
2014-15,1.05
2014-15,1.05
2022-23,1.05
2020-21,1.05
2013-14,1.05
2016-17,1.05
2011-12,1.05
2021-22,1.04
2019-20,1.04
2022-23,1.04
2012-13,1.04
2012-13,1.04
2021-22,1.04
2022-23,1.04
2016-17,1.04
2022-23,1.04
2017-18,1.04
2021-22,1.04
2018-19,1.04
2017-18,1.04
2017-18,1.04
2020-21,1.04
2013-14,1.03
2014-15,1.03
2018-19,1.03
2019-20,1.03
2019-20,1.03
2022-23,1.03
2022-23,1.03
2018-19,1.03
2021-22,1.03
2021-22,1.02
2018-19,1.02
2017-18,1.02
2012-13,1.02
2012-13,1.02
2019-20,1.02
2020-21,1.02
2020-21,1.02
2015-16,1.02
2022-23,1.02
2017-18,1.02
2011-12,1.02
2014-15,1.01
2015-16,1.01
2021-22,1.01
2013-14,1.01
2011-12,1.01
2013-14,1.01
2022-23,1.01
2017-18,1.01
2022-23,1.01
2018-19,1.01
2022-23,1.01
2014-15,1
2021-22,1
2021-22,1
2011-12,1
2022-23,1
2013-14,1
2020-21,1
2017-18,1
2021-22,1
2018-19,1
2012-13,1
2012-13,1
2015-16,1
2012-13,1
